hardware,depth_ratio,cx_ratio,init,circuit
tokyo,2.7,2.5789473684210527,identity,20Q_gate_Tokyo_large_2_10_1.5_no.6
rochester,7.258064516129032,12.548387096774194,random,53Q_gate_Rochester_large_1_1_1.5_no.6
sycamore,3.6161616161616164,4.2106382978723405,sa,53Q_gate_Sycamore_large_1_15_1.5_no.8
sycamore,7.386363636363637,5.660194174757281,identity,53Q_gate_Sycamore_large_2_3_1.5_no.3
rochester,5.145161290322581,5.640625,sa,53Q_gate_Rochester_small_2_15_1.5_no.2
sycamore,6.322222222222222,6.3631713554987215,random,53Q_depth_Sycamore_large_None_4_1.5_no.7
rochester,3.5714285714285716,6.793791574279379,sa,53Q_depth_Rochester_large_None_10_2.55_no.2
rochester,7.0476190476190474,9.106976744186046,random,53Q_depth_Rochester_large_None_4_2.55_no.9
sycamore,4.342105263157895,4.894039735099338,sabre,53Q_gate_Sycamore_large_2_4_1.5_no.7
rochester,3.626984126984127,6.142857142857143,sabre,53Q_depth_Rochester_small_None_4_2.55_no.6
sycamore,2.687116564417178,4.5,sa,53Q_gate_Sycamore_small_1_15_1.5_no.4
rochester,4.666666666666667,8.205479452054794,sa,53Q_depth_Rochester_small_None_4_2.55_no.8
sycamore,5.638297872340425,5.40625,sabre,53Q_gate_Sycamore_large_2_5_1.5_no.2
rochester,8.381578947368421,6.882640586797066,random,53Q_gate_Rochester_large_2_20_1.5_no.3
sycamore,5.882882882882883,5.596774193548387,random,53Q_gate_Sycamore_small_2_20_1.5_no.1
sycamore,3.097826086956522,6.236775818639798,random,53Q_gate_Sycamore_small_1_15_1.5_no.1
sycamore,4.777777777777778,7.939130434782609,identity,53Q_gate_Sycamore_large_1_0_1.5_no.9
rochester,5.449438202247191,9.271523178807946,random,53Q_depth_Rochester_small_None_10_2.55_no.3
rochester,7.224137931034483,7.263513513513513,identity,53Q_gate_Rochester_large_2_15_1.5_no.4
sycamore,2.0851063829787235,4.07667731629393,sabre,53Q_depth_Sycamore_large_None_3_2.55_no.1
rochester,9.823529411764707,12.093525179856115,random,53Q_depth_Rochester_small_None_2_1.5_no.2
sycamore,2.0309278350515463,8.073684210526316,random,53Q_gate_Sycamore_small_2_1_1.5_no.6
rochester,3.264705882352941,5.8,sabre,53Q_gate_Rochester_small_1_1_1.5_no.6
sycamore,3.225563909774436,3.8533007334963325,sabre,53Q_depth_Sycamore_small_None_5_2.55_no.0
rochester,4.146341463414634,9.0,sabre,53Q_depth_Rochester_small_None_1_2.55_no.0
rochester,7.868421052631579,10.835714285714285,random,53Q_gate_Rochester_small_2_5_1.5_no.0
rochester,4.75,6.413793103448276,sabre,53Q_depth_Rochester_small_None_3_1.5_no.4
sycamore,6.169491525423729,6.428015564202335,identity,53Q_gate_Sycamore_large_1_4_1.5_no.6
rochester,6.621951219512195,6.919786096256685,random,53Q_gate_Rochester_small_2_20_1.5_no.7
sycamore,2.910891089108911,6.484076433121019,random,53Q_gate_Sycamore_small_1_5_1.5_no.8
rochester,6.155555555555556,8.865642994241842,random,53Q_depth_Rochester_small_None_10_1.5_no.9
sycamore,2.2242990654205608,5.015873015873016,sa,53Q_gate_Sycamore_large_2_5_1.5_no.6
sycamore,3.5294117647058822,5.71875,sabre,53Q_gate_Sycamore_small_2_0_1.5_no.9
rochester,2.986666666666667,6.669291338582677,sabre,53Q_gate_Rochester_small_2_5_1.5_no.8
rochester,4.62962962962963,4.8530805687203795,sabre,53Q_gate_Rochester_large_2_25_1.5_no.7
sycamore,3.05,4.184049079754601,sabre,53Q_gate_Sycamore_small_2_3_1.5_no.6
rochester,8.656716417910447,10.9288256227758,random,53Q_depth_Rochester_large_None_4_1.5_no.0
sycamore,2.5,5.1344537815126055,sabre,53Q_gate_Sycamore_small_2_2_1.5_no.3
sycamore,4.19672131147541,4.5375,sa,53Q_gate_Sycamore_large_1_5_1.5_no.7
sycamore,4.329670329670329,6.162790697674419,random,53Q_depth_Sycamore_small_None_2_2.55_no.4
sycamore,2.5849056603773586,5.8520408163265305,random,53Q_gate_Sycamore_small_1_5_1.5_no.6
sycamore,2.3063063063063063,5.482142857142857,sa,53Q_gate_Sycamore_small_1_3_1.5_no.1
sycamore,3.489795918367347,5.336363636363636,sa,53Q_gate_Sycamore_small_2_1_1.5_no.5
rochester,2.323943661971831,5.663865546218488,sabre,53Q_gate_Rochester_small_2_5_1.5_no.6
tokyo,2.616279069767442,2.8181818181818183,sabre,20Q_depth_Tokyo_large_None_3_1.5_no.1
rochester,3.4871794871794872,6.093959731543624,sabre,53Q_gate_Rochester_large_1_3_1.5_no.0
